Nome,Email,CPF,Tipo Sanguíneo
Beatriz Souza,beatriz.souza@hotmail.com,183.634.994-39,B-
João Oliveira,joão.oliveira@yahoo.com,885.390.788-59,AB+
Fernando Pereira,fernando.pereira@gmail.com,803.962.198-84,A-
Beatriz Lima,beatriz.lima@gmail.com,725.612.894-56,B-
Bruno Costa,bruno.costa@yahoo.com,342.517.206-67,O-
Pedro Alves,pedro.alves@gmail.com,191.469.381-50,A+
Lucas Silva,lucas.silva@hotmail.com,620.378.800-71,B+
Lucas Silva,lucas.silva@outlook.com,254.230.189-40,A+
Carla Lima,carla.lima@hotmail.com,559.197.499-17,O-
Lucas Costa,lucas.costa@yahoo.com,517.319.563-63,AB-
Lucas Souza,lucas.souza@yahoo.com,748.162.366-38,AB+
Pedro Lima,pedro.lima@gmail.com,227.950.473-44,B+
Lucas Oliveira,lucas.oliveira@hotmail.com,484.713.341-15,O-
Juliana Alves,juliana.alves@hotmail.com,130.776.383-72,B+
3726,lucas.ferreira@yahoo.com,399.396.795-72,9230
Lucas Ferreira,lucas.ferreira@yahoo.com,470.300.443-98,AB+
João Martins,joão.martins@outlook.com,464.785.363-40,B-
,fernando.lima@yahoo.com,,A+
Ana Oliveira,8754,520.765.543-13,5552
Ana Rodrigues,ana.rodrigues@outlook.com,304.422.150-25,AB+
Pedro Lima,pedro.lima@yahoo.com,725.831.563-40,O+
Maria Oliveira,maria.oliveira@gmail.com,473.959.947-43,O+
Bruno Lima,bruno.lima@yahoo.com,433.964.943-60,A+
Carla Pereira,carla.pereira@gmail.com,674.344.591-75,O+
Beatriz Rodrigues,beatriz.rodrigues@hotmail.com,964.749.145-19,AB+
Beatriz Alves,beatriz.alves@gmail.com,199.515.186-20,A+
Beatriz Silva,beatriz.silva@yahoo.com,940.643.206-87,B+
,,,O+
Ana Costa,ana.costa@outlook.com,799.317.456-44,A-
João Lima,joão.lima@outlook.com,557.809.669-90,B-
Juliana Oliveira,juliana.oliveira@yahoo.com,103.767.768-91,B-
Juliana Oliveira,juliana.oliveira@yahoo.com,287.715.474-42,AB+
Fernando Souza,fernando.souza@gmail.com,411.914.661-97,B-
Pedro Lima,pedro.lima@gmail.com,458.802.591-26,AB-
Juliana Martins,1717,653.391.444-24,O-
Bruno Martins,,654.579.146-28,A-
Lucas Oliveira,lucas.oliveira@outlook.com,405.132.575-42,A-
Bruno Silva,bruno.silva@gmail.com,712.477.418-46,B-
João Silva,joão.silva@yahoo.com,986.663.281-80,B-
João Lima,joão.lima@yahoo.com,181.202.285-49,A+
Fernando Pereira,fernando.pereira@outlook.com,968.409.705-18,O+
Beatriz Pereira,beatriz.pereira@outlook.com,927.114.976-32,O+
João Costa,joão.costa@gmail.com,237.165.848-53,O-
Bruno Oliveira,bruno.oliveira@hotmail.com,135.611.721-56,A+
Maria Martins,maria.martins@yahoo.com,243.370.516-34,AB+
Maria Costa,maria.costa@gmail.com,927.755.684-33,O-
Ana Ferreira,ana.ferreira@outlook.com,431.290.995-15,A-
Fernando Ferreira,fernando.ferreira@hotmail.com,875.518.392-88,O+
Ana Alves,ana.alves@yahoo.com,248.851.732-71,AB-
Beatriz Alves,beatriz.alves@gmail.com,833.250.147-58,B+
Beatriz Silva,beatriz.silva@yahoo.com,270.907.556-94,AB-
Beatriz Pereira,beatriz.pereira@hotmail.com,612.719.765-53,O+
Fernando Silva,fernando.silva@gmail.com,873.514.723-45,O+
Pedro Martins,pedro.martins@hotmail.com,953.546.657-83,B+
Carla Oliveira,carla.oliveira@outlook.com,946.990.189-24,O+
Bruno Oliveira,bruno.oliveira@hotmail.com,983.226.873-40,A+
Fernando Ferreira,fernando.ferreira@yahoo.com,859.764.614-17,B-
,beatriz.lima@gmail.com,,
Pedro Ferreira,pedro.ferreira@gmail.com,290.563.234-14,AB-
Fernando Pereira,fernando.pereira@hotmail.com,747.370.204-87,AB+
,joão.rodrigues@hotmail.com,,
Juliana Souza,juliana.souza@hotmail.com,701.374.444-64,A+
Beatriz Silva,beatriz.silva@outlook.com,190.381.699-28,AB-
,,441.138.326-30,A+
Maria Souza,maria.souza@yahoo.com,171.147.767-35,A+
Bruno Silva,bruno.silva@yahoo.com,643.835.443-34,AB-
Fernando Costa,,,
Bruno Souza,bruno.souza@gmail.com,137.658.574-33,O+
Bruno Martins,bruno.martins@hotmail.com,105.289.100-26,B-
Pedro Oliveira,pedro.oliveira@yahoo.com,551.608.395-55,AB-
Pedro Ferreira,,599.641.697-25,O-
Ana Silva,1736,299.892.934-71,5168
Beatriz Costa,beatriz.costa@hotmail.com,837.643.947-56,AB+
Carla Alves,carla.alves@yahoo.com,529.549.105-49,B-
1119,juliana.oliveira@outlook.com,899.795.918-17,A+
Bruno Souza,bruno.souza@hotmail.com,408.560.428-94,AB-
Ana Ferreira,ana.ferreira@outlook.com,918.847.629-46,B-
Fernando Silva,fernando.silva@gmail.com,416.388.245-43,A-
Maria Souza,maria.souza@gmail.com,439.895.634-92,AB+
,bruno.silva@outlook.com,,
João Rodrigues,joão.rodrigues@yahoo.com,951.215.813-49,O+
3750,beatriz.oliveira@hotmail.com,664.107.463-28,B-
Pedro Silva,pedro.silva@yahoo.com,490.135.272-66,B-
Bruno Ferreira,bruno.ferreira@yahoo.com,102.706.658-14,O+
João Ferreira,joão.ferreira@hotmail.com,152.560.579-62,O-
João Ferreira,joão.ferreira@hotmail.com,,B+
Pedro Rodrigues,,,O-
Pedro Costa,pedro.costa@gmail.com,674.400.618-41,A+
8662,8166,846.296.557-90,AB+
Ana Alves,ana.alves@hotmail.com,260.810.429-21,A+
Bruno Souza,bruno.souza@yahoo.com,269.258.890-97,B+
,,831.979.820-42,O-
Beatriz Rodrigues,beatriz.rodrigues@hotmail.com,643.173.476-39,B-
Maria Alves,maria.alves@hotmail.com,760.656.672-11,A-
Fernando Rodrigues,fernando.rodrigues@outlook.com,507.498.699-52,O+
João Martins,joão.martins@hotmail.com,627.455.909-83,B-
Ana Pereira,ana.pereira@outlook.com,528.309.901-10,A+
Pedro Ferreira,pedro.ferreira@gmail.com,337.240.378-47,A-
Pedro Ferreira,pedro.ferreira@hotmail.com,505.987.760-60,B-
Pedro Rodrigues,pedro.rodrigues@yahoo.com,661.579.618-32,O-
Pedro Souza,pedro.souza@hotmail.com,729.288.821-69,AB-
João Silva,joão.silva@outlook.com,311.640.897-71,AB+
João Souza,joão.souza@yahoo.com,986.367.126-78,AB+
Maria Alves,maria.alves@hotmail.com,160.591.349-52,AB+
Juliana Ferreira,,643.451.915-68,AB+
Lucas Lima,lucas.lima@yahoo.com,997.503.574-39,B-
Ana Lima,ana.lima@outlook.com,844.475.309-80,B+
Beatriz Oliveira,beatriz.oliveira@outlook.com,770.547.959-34,B+
Pedro Alves,pedro.alves@outlook.com,204.890.170-67,B+
,beatriz.lima@yahoo.com,501.453.920-87,A-
Pedro Rodrigues,pedro.rodrigues@gmail.com,699.387.339-33,A-
Juliana Martins,juliana.martins@gmail.com,133.531.405-60,
Beatriz Silva,beatriz.silva@gmail.com,166.102.370-65,B+
8573,juliana.pereira@yahoo.com,301.438.440-88,5712
Ana Oliveira,ana.oliveira@yahoo.com,610.542.963-36,AB+
Beatriz Ferreira,beatriz.ferreira@yahoo.com,574.672.730-88,B-
Bruno Silva,bruno.silva@hotmail.com,706.407.663-30,O-
Pedro Souza,pedro.souza@gmail.com,756.143.255-92,B+
Lucas Pereira,lucas.pereira@hotmail.com,375.204.726-74,O-
Fernando Ferreira,fernando.ferreira@gmail.com,539.816.762-21,B-
João Martins,joão.martins@outlook.com,256.649.524-59,A+
4014,,249.324.387-80,4402
João Souza,joão.souza@outlook.com,722.109.222-72,B+
Beatriz Silva,beatriz.silva@hotmail.com,326.674.956-86,AB-
Lucas Martins,lucas.martins@outlook.com,506.460.991-60,
Lucas Silva,lucas.silva@outlook.com,109.666.252-99,A+
Beatriz Souza,beatriz.souza@outlook.com,239.133.915-82,O+
Maria Lima,maria.lima@yahoo.com,910.520.586-23,O+
João Rodrigues,joão.rodrigues@gmail.com,510.102.208-18,AB-
João Rodrigues,joão.rodrigues@yahoo.com,922.249.145-44,O+
Beatriz Rodrigues,beatriz.rodrigues@gmail.com,942.784.389-74,O+
Maria Costa,maria.costa@gmail.com,538.849.704-23,O+
Pedro Alves,pedro.alves@yahoo.com,636.817.296-11,A+
Pedro Oliveira,pedro.oliveira@outlook.com,811.106.755-27,O+
Maria Lima,maria.lima@hotmail.com,,
Maria Costa,maria.costa@gmail.com,642.326.170-61,A+
Lucas Rodrigues,lucas.rodrigues@gmail.com,267.505.553-78,O-
,joão.lima@yahoo.com,455.868.989-95,AB-
1975,ana.martins@outlook.com,872.873.114-27,2414
João Ferreira,,762.388.443-88,B-
Bruno Ferreira,bruno.ferreira@outlook.com,161.502.994-57,A+
Beatriz Lima,beatriz.lima@hotmail.com,838.776.424-25,AB+
Carla Costa,carla.costa@yahoo.com,122.619.531-51,AB-
Pedro Costa,pedro.costa@hotmail.com,882.903.696-67,A+
Maria Costa,maria.costa@hotmail.com,433.535.898-72,A-
Carla Lima,carla.lima@outlook.com,569.910.524-19,AB-
Beatriz Souza,beatriz.souza@hotmail.com,848.128.240-39,O+
João Martins,joão.martins@hotmail.com,900.807.371-98,A+
Bruno Martins,bruno.martins@hotmail.com,680.583.810-17,O+
Pedro Martins,pedro.martins@hotmail.com,496.298.731-61,B-
Juliana Martins,juliana.martins@yahoo.com,320.856.914-54,O-
Pedro Lima,pedro.lima@hotmail.com,535.106.387-75,O-
Bruno Ferreira,bruno.ferreira@hotmail.com,388.394.841-93,B-
1949,ana.alves@gmail.com,972.521.441-53,7814
Carla Ferreira,carla.ferreira@yahoo.com,532.762.368-70,B-
Juliana Costa,juliana.costa@hotmail.com,648.657.400-43,AB-
Carla Pereira,carla.pereira@hotmail.com,376.650.665-36,B-
Pedro Oliveira,pedro.oliveira@hotmail.com,238.977.519-42,O+
Ana Martins,ana.martins@gmail.com,966.350.669-35,AB-
Fernando Alves,fernando.alves@yahoo.com,742.824.478-88,B+
João Silva,joão.silva@hotmail.com,797.848.350-40,B-
Maria Costa,maria.costa@outlook.com,591.627.296-96,O-
Fernando Ferreira,fernando.ferreira@hotmail.com,281.254.309-73,A-
João Martins,joão.martins@hotmail.com,236.405.942-90,B-
Maria Pereira,maria.pereira@outlook.com,991.235.677-18,B-
Pedro Oliveira,pedro.oliveira@gmail.com,805.944.735-84,
Bruno Oliveira,bruno.oliveira@yahoo.com,,B+
Maria Silva,maria.silva@yahoo.com,510.730.855-91,A-
Bruno Lima,bruno.lima@hotmail.com,458.610.985-80,A-
,carla.pereira@hotmail.com,822.598.503-98,AB+
Lucas Martins,lucas.martins@yahoo.com,998.956.199-90,O+
Carla Silva,carla.silva@gmail.com,992.227.251-69,O+
João Costa,joão.costa@outlook.com,725.932.468-27,AB-
Pedro Souza,pedro.souza@hotmail.com,950.548.144-52,AB-
Fernando Rodrigues,fernando.rodrigues@yahoo.com,549.117.655-24,AB-
Fernando Lima,fernando.lima@outlook.com,322.886.117-27,AB-
Pedro Alves,pedro.alves@yahoo.com,901.897.311-66,B-
Maria Pereira,maria.pereira@hotmail.com,631.666.169-37,AB-
Lucas Alves,lucas.alves@yahoo.com,782.868.226-29,B-
Carla Lima,carla.lima@outlook.com,265.717.566-62,B+
Fernando Rodrigues,fernando.rodrigues@outlook.com,384.871.850-23,A+
Carla Martins,carla.martins@yahoo.com,953.375.137-66,A+
Pedro Lima,pedro.lima@gmail.com,282.512.872-52,A+
Ana Alves,ana.alves@hotmail.com,192.787.402-16,AB+
Bruno Oliveira,bruno.oliveira@outlook.com,247.223.260-28,A+
Beatriz Lima,beatriz.lima@outlook.com,146.730.663-86,A-
Carla Alves,carla.alves@outlook.com,,O-
João Rodrigues,joão.rodrigues@hotmail.com,281.761.431-94,AB-
Fernando Silva,fernando.silva@yahoo.com,868.345.785-52,A+
João Rodrigues,joão.rodrigues@hotmail.com,771.574.191-79,B+
Juliana Costa,juliana.costa@gmail.com,887.759.365-20,A-
,,,O+
Fernando Souza,fernando.souza@hotmail.com,154.385.347-87,AB-
Bruno Silva,bruno.silva@gmail.com,712.223.243-68,B+
Beatriz Lima,beatriz.lima@outlook.com,469.282.530-88,B-
Juliana Silva,juliana.silva@outlook.com,988.397.890-53,A-
Maria Pereira,maria.pereira@outlook.com,524.891.141-22,O+
Ana Pereira,ana.pereira@outlook.com,728.716.257-35,A+
Carla Alves,carla.alves@hotmail.com,743.374.570-24,A-
Fernando Lima,fernando.lima@yahoo.com,704.571.818-42,AB-
Beatriz Souza,beatriz.souza@hotmail.com,236.704.703-95,B+
Ana Martins,ana.martins@gmail.com,782.216.197-92,O+
Ana Silva,ana.silva@yahoo.com,343.299.553-71,A-
Lucas Rodrigues,lucas.rodrigues@gmail.com,323.627.383-94,O-
Bruno Martins,bruno.martins@outlook.com,135.380.355-44,AB+
Bruno Lima,bruno.lima@hotmail.com,636.911.813-43,O+
Maria Martins,maria.martins@hotmail.com,244.725.671-65,O-
Bruno Costa,bruno.costa@outlook.com,771.535.738-16,A+
Ana Ferreira,ana.ferreira@gmail.com,785.365.287-65,
Pedro Silva,pedro.silva@gmail.com,569.985.214-58,B-
Maria Martins,maria.martins@yahoo.com,800.199.829-35,AB-
Carla Alves,carla.alves@hotmail.com,433.463.243-64,B-
Fernando Martins,fernando.martins@yahoo.com,442.983.782-31,A+
Bruno Pereira,bruno.pereira@hotmail.com,352.471.469-84,A+
Beatriz Alves,beatriz.alves@yahoo.com,776.295.158-70,O+
Pedro Costa,pedro.costa@yahoo.com,212.367.412-21,A-
Bruno Alves,bruno.alves@hotmail.com,455.335.601-35,A+
Carla Martins,carla.martins@hotmail.com,678.483.960-56,AB-
Fernando Silva,fernando.silva@gmail.com,666.576.773-92,5284
Pedro Costa,pedro.costa@yahoo.com,,A-
Beatriz Rodrigues,beatriz.rodrigues@yahoo.com,172.446.971-13,A-
Bruno Souza,bruno.souza@hotmail.com,903.729.861-58,AB+
Fernando Pereira,fernando.pereira@gmail.com,619.121.165-46,O+
Pedro Martins,pedro.martins@outlook.com,664.325.477-97,O+
João Ferreira,joão.ferreira@hotmail.com,981.577.326-68,6525
Lucas Alves,lucas.alves@gmail.com,938.105.767-11,O+
Fernando Pereira,fernando.pereira@hotmail.com,865.660.253-59,AB+
Fernando Silva,fernando.silva@outlook.com,770.297.997-92,A+
Pedro Lima,pedro.lima@yahoo.com,725.473.728-24,O+
Maria Ferreira,maria.ferreira@yahoo.com,823.477.596-91,AB-
Maria Costa,maria.costa@outlook.com,644.694.627-39,B+
Pedro Martins,pedro.martins@gmail.com,635.949.802-71,O-
Maria Rodrigues,maria.rodrigues@outlook.com,397.412.437-62,O+
Juliana Ferreira,juliana.ferreira@outlook.com,319.708.673-15,A+
,fernando.martins@outlook.com,664.792.786-31,AB-
